Emotion,Text
0,neutral, Why ? 
1,joy,Sage Act upgrade on my to do list for tommorow.
2,sadness,ON THE WAY TO MY HOMEGIRL BABY FUNERAL!!! MAN I HATE FUNERALS THIS REALLY SHOWS ME HOW BLESSED I AM 
3,joy," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . "
4,joy,"@Iluvmiasantos ugh babe.. hugggzzz for u .!  babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang "
5,fear,I'm expecting an extremely important phonecall any minute now #terror #opportunity
6,sadness," .Couldnt wait to see them live. If missing them in NH7 wasnt painful enuf, Suraj 's performing his last gig in delhi. "
7,surprise,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten. Nu dus. #derestkomtlaterwel
8,surprise,En dan krijg je ff een cadeautje van een tweep #melike
9,surprise," @1116am Drummer Boy bij op verzoek van @BiemOosterhof . @frankcornet : welke uitvoering, van wie?"
10,anger,"The bull tossed the effigy out of their hands and became very infuriated . "" "
11,sadness,People hide their behind a #fake smile.
12,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
13,fear,Against the assault of laughter nothing can stand. ~ Mark Twain #emotionalcourage
14,anger," With everything , with everybody , with all this ! "
15,sadness,"Shakuhachi dress $580,  10-22 mm lens $708 #pain :("
16,surprise,"Haha of course I come home to a different house, leave it to my parents to redo the entire downstairs without warning "
17,joy,I have a feeling i will fail french #fuckfrench
18,joy, Good.Let ' s go now . 
19,surprise,"@JuliaLeader I reeeeeellllyyyyyyy need to tell you something, but guess what. My go phone is fucked up. #gotohellmexicanphone"
20,sadness," Oh , that's too bad . Should I call a doctor ? "
21,joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile."""
22,fear,"is a primitive #Instinct that's your friend.It warns you to pay attention when ur in danger,it tells you to do or act to save yourself"
23,anger,I have to talk to you ! 
24,fear,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.
25,sadness,you're so welcome @madelineerich8! so glad I could make your night! love you. please don't leave me :( i'm gonna miss you so much! 
26,surprise,another ending? i almost pooped my pants at the end of last weeks crazy ending!  #dEcodEd
27,joy,One could get terribly ecstatic but that would be a dangerous thing to do . 
28,sadness,So much for losing something.. Going to fat burger for dinner with dad   
29,joy,When I was selected to study here at university.
30,joy," Yeah , it ’ s been ages ! So how have you been ? "
31,fear,is a friend that you misunderstood but I know the #heartoflife is good..
32,fear,@nicolescherzy @nicosherzinger &  &#xA
33,shame,"Nobody doubted him , or failed to recognise his temporary financial embarrassment . "
34,fear,The bank had made no secret of their dismay over Virgin 's venture into airlines . 
35,joy,When I passed the B.A exams with first class results.
36,sadness,homies all go to ride ponies... I look at them like a sad puppy #wanttoride #ankleneedstoheal
37,surprise,pop out &amp
38,sadness,OMG its December 5th and the windows are open at my house. Mr. Winter where are you. Jack frost is missing too. 
39,surprise,alleen nog even morgen cadootjes kopen in stadje en dan helemaal klaar 
40,surprise," I'm not from this planet, I'm from one of the other planets that hold life &amp; are just being discovered. "
41,anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing."
42,fear,Few years ago my father was very ill. He stayed at a hospital for a long time. Then I experienced that terrible feeling that I might lose him.
43,sadness, I thought they had already agreed to everything . That ’ s going to take weeks to rework . 
44,anger,My parents didn't allow me to go to a social function that all my friends were attending.
45,fear,"&quot;The family is the bedrock of our society. Unless we protect it with the institution of marriage, our country will fall.&quot;  "
46,sadness,Bro team lost... .... Least he played with swag... #freshcut
47,joy,When I heard that I had been selected fot the first year at the university of Zambia.  This was after my form five at Chikola secondary school.
48,anger,"When someone tried to rape one of my best friends and he claimed it was her fault. He the hassled her, claimed she was loose, and threatened to sue her."
49,joy,Welp time to study for the next few days... 
50,joy,Heading to campus in the rain to take grad photos 
51,fear,My own dismay at the way those kids were savaging the flora of Stonethwaite is a good example . 
52,sadness,That moment of terror when you go to drink your hot chocolate knowing its about to burn your mouth. 
53,sadness," Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects . "
54,sadness,Sink is broken so no  2night: Was going to be lamb..now just pbj! 
55,sadness,I apparently lost my best-friend.. 
56,fear,“@mattmosley: This is the shakiest 14-point lead in history of college football.” lol 
57,fear,"People who get trapped in an elevator actually do take the stairs next time,, don let take over and wear you down .. #quote #life"
